Objects,diff_lard,diff_lrd,diff_ard
allen_wrench,-0.02,0.0,-0.05
apple,-0.0,-0.0,-0.1
banana,0.02,0.01,0.0
band_aid,0.01,-0.02,-0.02
bell_pepper,-0.01,-0.01,-0.01
book,0.01,0.0,-0.03
bowl,0.0,0.01,-0.02
can_opener,0.04,0.05,0.01
cap,-0.0,-0.07,-0.04
cell_phone,0.02,-0.0,-0.08
coffee_mug,-0.01,0.0,-0.04
eye_glasses,0.01,0.01,-0.03
flashlight,0.15,0.15,0.16
food_can,-0.02,-0.02,-0.09
food_jar,0.0,-0.0,-0.04
fork,-0.02,0.0,-0.01
gauze,0.03,-0.0,0.01
hammer,0.04,0.03,0.02
hand_towel,0.02,0.01,-0.09
lemon,0.01,0.01,-0.03
lightbulb,-0.01,-0.01,-0.05
lime,-0.02,-0.01,-0.02
marker,-0.02,-0.01,-0.02
measuring_tape,0.01,0.01,0.0
medicine_bottle,0.01,-0.01,0.0
mouse,-0.01,0.0,-0.06
notebook,-0.01,0.01,-0.04
onion,0.0,-0.0,-0.03
pencil,-0.01,-0.0,-0.08
picture_frame,0.0,0.02,-0.04
pill_cutter,-0.14,-0.15,-0.07
plate,0.01,-0.0,-0.02
pliers,0.01,0.01,0.01
potato,-0.01,-0.0,-0.01
prescription_medicine_bottle,0.0,-0.02,-0.03
scissors,-0.01,-0.0,0.02
screwdriver,-0.04,-0.07,0.03
shampoo,-0.0,0.01,-0.02
soda_bottle,-0.0,-0.0,-0.03
sponge,-0.05,-0.09,-0.03
spoon,0.06,0.07,0.08
stapler,0.04,0.03,0.02
syringe,-0.01,-0.01,-0.04
tissue_box,0.04,0.04,-0.01
toothbrush,0.03,0.01,0.04
toothpaste,0.04,0.02,0.03
water_bottle,0.0,-0.0,-0.04
